BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot ZB
2451370 0.00376497461560829 2451370 0.00363743580141165 -7162.25605333213 0.0000238907146000722
2451380 0.00318921981574444 2451380 0.00306152595849821 -5001.89647606101 0.0000166845307231211
2451390 0.00254915910344675 2451390 0.00242131020414802 -3366.90784043747 0.0000112307956741109
2451400 0.00186233438948935 2451400 0.00173433044886319 -2262.55045726474 0.00000754705596117677
2451410 0.00114778200735566 2451410 0.00101962302583201 -1771.36247075333 0.00000590862919824797
2451420 0.000426397039998657 2451420 0.000298083017683452 -1892.23112068336 0.00000631180361676531
2451430 -0.00028183683375197 2451430 -0.00041030589706264 -2606.98452062416 0.00000869596432817588
2451440 -0.000956158898203309 2451440 -0.00108478300303525 -3954.09758842309 0.0000131894498440754
2451450 -0.00157628558402638 2451450 -0.00170506473121991 -5861.89334013473 0.0000195531714815012
2451460 -0.0021242939467016 2451460 -0.00225322813737493 -8291.54921685519 0.0000276576311231125
2451470 -0.00258275454830932 2451470 -0.00271184378385089 -11211.3826390629 0.0000373971470591927
2451480 -0.00293724675456164 2451480 -0.00306649103658351 -14492.0805691428 0.0000483403774258484
2451490 -0.00317677148137771 2451490 -0.00330617081166248 -18074.9523334497 0.0000602915512085689
2451500 -0.0032924337004667 2451500 -0.00342198808093488 -21854.2341652069 0.0000728978784556578
2451510 -0.00328027398723373 2451510 -0.00340998341986721 -25674.0105130096 0.0000856392808687989
2451520 -0.00314003300422839 2451520 -0.00326989749101311 -29464.2900426478 0.0000982822924873172
2451530 -0.00287481045642403 2451530 -0.00300482999929785 -33074.5490737659 0.000110324820358776
2451540 -0.00249307626807417 2451540 -0.00262325086884363 -36370.7086823904 0.000121319625333571
2451550 -0.00200612077113097 2451550 -0.00213645043142754 -39291.6644396584 0.000131062884976441
2451560 -0.00142873014628761 2451560 -0.00155921486751351 -41695.8518532276 0.000139082390969381
2451570 -0.000779592903049692 2451570 -0.000910232686317364 -43520.2367237459 0.000145167883855657
2451580 -0.0000783046394149786 2451580 -0.000209099485533036 -44734.2701819383 0.000149217463575879
2451590 0.000653186935494144 2451590 0.000522237026057393 -45255.723354528 0.00015095684413291
2451600 0.0013918779806855 2451600 0.00126077300781842 -45115.173730834 0.000150488021052331
2451610 0.00211599600422713 2451610 0.00198473596815569 -44319.982764265 0.000147835549499598
2451620 0.00280325176727293 2451620 0.00267183666856869 -42869.9295860245 0.000142998692735707
