BJDtdb1 BJDtdb2 ZB
2456509 0.948372484355732 0.0000797929344373838
2456509 0.949367563646045 0.0000797844952502569
2456509 0.950386645025538 0.0000797758688901862
2456552 0.763687466804673 0.0000346023940143159
2456552 0.764844507037393 0.0000345913253367858
2456552 0.766198553941177 0.0000345783609860817
2456552 0.7678656114705 0.0000345623845057208
2456552 0.769277660315357 0.0000345488398496574
2456606 0.653901286869606 -0.0000466017365404747
2456606 0.655070232681427 -0.0000466128993522608
2456606 0.656181180742306 -0.0000466235008558247
2456606 0.657280129259556 -0.0000466339802536186
2456867 0.890641291514873 0.0000844724998392277
2456867 0.918375631241918 0.0000842322308838295
2456867 0.922368967449958 0.0000841974609286922
2456883 0.887653184483595 0.0000736303318613629
2456883 0.888741264965801 0.000073620501424454
2456883 0.889783341700523 0.0000736110910468657
2456883 0.890836419086072 0.0000736015861149131
2457028 0.570656989424565 -0.0000922658053630343
2457028 0.571859878514506 -0.0000922741303370778
2457028 0.57305176875852 -0.0000922823378224358
2457028 0.574220660707322 -0.0000922903465019331
2457205 0.946834661436652 0.0000881973309594386
2457205 0.947852751062554 0.0000881894687876361
2457205 0.94888284183012 0.0000881814992661489
2457206 0.946621581762925 0.0000883687822597068
2457206 0.947686675841801 0.0000883604975032704
2457206 0.948739769225824 0.000088352291449878
2457268 0.86780628446778 0.0000530483544911586
2457268 0.869021349097846 0.0000530372850557903
2457268 0.870202411652341 0.0000530265459819379
2457327 0.723348242866317 -0.0000334203157702495
2457327 0.724505203933938 -0.0000334308614113876
2457327 0.72565116597183 -0.000033441281084956
2457327 0.726832126395358 -0.0000334519917263298
2457395 0.572310366857727 -0.0000924819232678287
2457395 0.57372223632228 -0.0000924913492547086
2457395 0.575099108977061 -0.0000925004824652298
2457620 0.820819031054163 0.0000682087835599532
2457620 0.824604288917766 0.0000681748117281611
2457626 0.878041024802377 0.0000614448901374853
2457626 0.879071088023526 0.0000614355082477758
2457626 0.880090150708292 0.0000614262386642306
2457626 0.881189217975624 0.0000614162552363684
2457626 0.882266284178976 0.0000614064860393615
2457626 0.8834583576108 0.0000613956907857816
2458355 0.909373577647214 0.0000627093032798953
2458355 0.910194629104215 0.0000627021981338682
2458355 0.911005679852159 0.0000626951927853447
2458355 0.911803729913165 0.0000626883127416988
2458355 0.912613780812395 0.0000626813425974593
2458355 0.913424831543441 0.0000626743774927441
2458355 0.914234882431395 0.0000626674347594669
2458355 0.915044933313731 0.000062660505960821
2458355 0.91585498419046 0.0000626535912564563
2458675 0.945771239647227 0.0000887869760639592
2458675 0.94756539909871 0.000088772275411042
2458675 0.94932455491742 0.0000887578415309509
2458675 0.950968701257819 0.0000887443349424366
2458675 0.952472834551267 0.0000887319659672592
2458679 0.94291897475039 0.0000884203297744079
2458679 0.943729046493392 0.0000884135846115353
2458679 0.944528117407388 0.0000884069283355604
2458679 0.94533818867383 0.0000884001778485022
2458679 0.946160261552773 0.0000883933248720936
2458680 0.942671202319738 0.0000882668993955615
2458680 0.943470272650822 0.0000882602199041571
2458680 0.944268343113537 0.000088253546577155
2458680 0.945067413899653 0.0000882468628555788
2458680 0.945877485502136 0.0000882400852171283
2458704 0.888516976591144 0.0000777371169982111
2458704 0.88944304865075 0.0000777288218625216
2458704 0.89033411794829 0.0000777208399771467
2458704 0.89122618709121 0.0000777128490938583
2458704 0.892117256374518 0.0000777048673563652
